,Origin,LicenceNumber,OperatorShortName,OperatingPeriodStartDate,DatasetID,FileName,dq_score,Status,Destination,URL,OperatorCode,OperatorName,RevisionNumber,ServiceCode,Description,TradingName,PublicUse,SchemaVersion,OperatingPeriodEndDate,dq_rag,FileType,bods_compliance,OperatingDays,LineName,Comment,NOC,expired service
63,University Campus East,PB0001747,First York Limited,2023-12-31,2089,66-YFAO066--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,66,Automatically detected change in data set,FYOR,No End Date
64,University Campus East,PB0001747,First York Limited,2023-12-31,2089,66-YFAO066--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,67,Automatically detected change in data set,FYOR,No End Date
65,Clifton Moor Tesco,PB0001747,First York Limited,2023-12-24,2089,6-RYAO006--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Heslington East,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:17,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,6,Automatically detected change in data set,FYOR,No End Date
66,Clifton Moor Tesco,PB0001747,First York Limited,2023-12-31,2089,6-RYAO006--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Heslington East,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:17,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,6,Automatically detected change in data set,FYOR,No End Date
67,Designer Oulet Park & Ride,PB0001747,First York Limited,2023-12-24,2089,7-YFAO007--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,York Clifford Street,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:18,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,7,Automatically detected change in data set,FYOR,No End Date
68,Designer Oulet Park & Ride,PB0001747,First York Limited,2023-12-31,2089,7-YFAO007--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,York Clifford Street,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:18,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,7,Automatically detected change in data set,FYOR,No End Date
69,Grimston Bar,PB0001747,First York Limited,2023-12-24,2089,8-YFAO008--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Grimston Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:19,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,8,Automatically detected change in data set,FYOR,No End Date
70,Grimston Bar,PB0001747,First York Limited,2023-12-31,2089,8-YFAO008--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Grimston Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:19,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,8,Automatically detected change in data set,FYOR,No End Date
71,Monks Cross Park and Ride Site,PB0001747,First York Limited,2023-12-24,2089,9-YFAO009--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Monks Cross Park and Ride Site,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:39,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,9,Automatically detected change in data set,FYOR,No End Date
72,Monks Cross Park and Ride Site,PB0001747,First York Limited,2023-12-31,2089,9-YFAO009--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Monks Cross Park and Ride Site,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:39,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,9,Automatically detected change in data set,FYOR,No End Date
73,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2024-01-07,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,10,Automatically detected change in data set,FYOR,No End Date
76,"Stamford Bridge, Roman Avenue",PB0001747,First York Limited,2024-01-07,2089,10_10A-YFAO010_YFAO010A--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Nether Poppleton,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:20,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Sunday,10A,Automatically detected change in data set,FYOR,No End Date
79,Bishopthorpe,PB0001747,First York Limited,2024-01-07,2089,11-YFAO011--FYOR-York-2024-01-07-FYOR_2024-01-07-BODS_V1_1.xml,100.0,published,Fifth Avenue,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,339,PB0001747:21,FYOR-York,First York,true,2.4,,green,zip,True,Monday-Saturday,11,Automatically detected change in data set,FYOR,No End Date
